*******************************************************************************
 Revised: Aug 13, 2009   Ulysses Spacecraft (interplanetary) / (Sun)        -55
                             http://ulysses.jpl.nasa.gov/ 
            http://ulysses-ops.jpl.esa.int/ulsfct/rgpCafe/solsys/solsys.html

 MISSION ENDED: June 30, 2009. Last tracking data: 2009-Jun-29.
  The Ulysses Radioisotope Thermoelectric Generators (RTGs) have been steadily 
  losing power over the years and can no longer run all the communications, 
  scientific equipment, and heating simultaneously. Soon the spacecraft will 
  become so cold that its hydrazine fuel lines will freeze and it will become 
  impossible to maneuver. 

  A five year mission was planned, but for more than 17 years, the spacecraft 
  has studied the Sun, magnetic fields, the solar wind, x-rays and particles 
  from solar flares, and more. 
 
 BACKGROUND
   Launched : Oct 6, 1990                   Jupiter gravity assist: Feb 8, 1992
   Deployed from shuttle Discovery (STS-41) 160 nm above Earth

   Objective: Study the Sun from high solar latitudes.
   Ulysses is a joint mission between NASA and the European Space Agency (ESA).

   To reach high solar latitudes, the spacecraft was directed past Jupiter to 
   obtain a gravity-assist, accelerating Ulysses out of the ecliptic plane.

   With an orbital period of 6 years, observations have/will be obtained at 
   both the minimum and maximum of the 11 year solar cycle.

   See the web-page above for extensive information on the Ulysses Mission.

 SPACECRAFT TRAJECTORY:
  ... concatenated of trajectories provided Navigation Team (Mark Ryne/JPL). 

  File name              Span
  ---------------------  --------------------------------------------------
  pfile_ulysses_history  1990-Oct-6 (injection) to 2050-Jan-1. 
                         Trajectory after 2009-Jun-29 is predicted.
*******************************************************************************


*******************************************************************************
Ephemeris / WWW_USER Sun May  7 13:20:52 2023 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Ulysses (spacecraft) (-55)      {source: ulysses}
Center body name: Sun (10)                        {source: ulysses}
Center-site name: (user defined site below)
*******************************************************************************
Start time      : A.D. 1990-Oct-06 20:00:00.0000 UT      
Stop  time      : A.D. 2008-Jan-01 12:00:00.0000 UT      
Step-size       : 1440 minutes
*******************************************************************************
Target pole/equ : undefined
Target radii    : undefined                                                    
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 6.96E5, 0.0                {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : IAU_SUN                         {East-longitude positive}
Center radii    : 696000.0, 696000.0, 696000.0 km {Equator_a, b, pole_c}       
Target primary  : Earth
Vis. interferer : None
Rel. light bend : Sun                             {source: ulysses}
Rel. lght bnd GM: 1.3271E+11 km^3/s^2                                          
Atmos refraction: NO (AIRLESS)
RA format       : HMS
Time format     : CAL 
Calendar mode   : Mixed Julian/Gregorian
EOP file        : eop.230504.p230727                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2023-MAY-04. PREDICTS-> 2023-JUL-26
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass     n.a.    , Daylight (NO )
Table cut-offs 2: Solar elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table cut-offs 3: RA/DEC angular rate (     0.0=NO )                           
Table format    : Comma Separated Values (spreadsheet)
*************************************************************************************************************************************************************************************
 Date__(UT)__HR:MN, , , R.A._(ICRF), DEC__(ICRF),    APmag,  S-brt,             delta,     deldot,     S-O-T,/r,     S-T-O,  Sky_motion, Sky_mot_PA, RelVel-ANG, Lun_Sky_Brt  sky_SNR
*************************************************************************************************************************************************************************************
$$SOE
 1990-Oct-06 20:00, , , 00 48 36.92, +05 11 22.2,     n.a.,   n.a.,  1.00130654127152, -0.9690929,   68.1191,/T,    0.2397,   3.5047287,  91.529303,  -1.308849,        n.a.     n.a.
 1990-Oct-07 20:00, , , 00 53 40.73, +05 45 59.1,     n.a.,   n.a.,  1.00085548433338, -0.6434998,   55.4293,/T,    0.2123,   3.4771651,  91.717600,  -0.876596,        n.a.     n.a.
 1990-Oct-08 20:00, , , 00 58 47.55, +06 20 46.5,     n.a.,   n.a.,  1.00054366400663, -0.4478074,   42.7851,/T,    0.1741,   3.5083499,  91.811323,  -0.604940,        n.a.     n.a.
 1990-Oct-09 20:00, , , 01 03 57.38, +06 55 44.8,     n.a.,   n.a.,  1.00032671321321, -0.3120263,   30.2353,/T,    0.1274,   3.5331128,  91.896468,  -0.418795,        n.a.     n.a.
 1990-Oct-10 20:00, , , 01 09 09.64, +07 30 48.6,     n.a.,   n.a.,  1.00017499089760, -0.2190625,   17.9590,/T,    0.0756,   3.5498093,  91.977700,  -0.292818,        n.a.     n.a.
 1990-Oct-11 20:00, , , 01 14 23.64, +08 05 51.9,     n.a.,   n.a.,  1.00006885303219, -0.1511078,    7.4254,/T,    0.0314,   3.5576502,  92.058823,  -0.201690,        n.a.     n.a.
 1990-Oct-12 20:00, , , 01 19 38.66, +08 40 47.9,     n.a.,   n.a.,  0.99999924109270, -0.0894067,   10.5741,/L,    0.0556,   3.5562924,  92.143374,  -0.119540,        n.a.     n.a.
 1990-Oct-13 20:00, , , 01 24 53.97, +09 15 29.6,     n.a.,   n.a.,  0.99996803467273, -0.0149740,   22.1963,/L,    0.1085,   3.5457869,  92.234620,  -0.020372,        n.a.     n.a.
 1990-Oct-14 20:00, , , 01 30 08.89, +09 49 50.0,     n.a.,   n.a.,  0.99998612853913,  0.0892938,   34.6147,/L,    0.1595,   3.5266522,  92.335732,  0.1197015,        n.a.     n.a.
 1990-Oct-15 20:00, , , 01 35 22.68, +10 23 41.9,     n.a.,   n.a.,  1.00007935987448,  0.2428548,   47.2132,/L,    0.2038,   3.4994837,  92.448691,  0.3286513,        n.a.     n.a.
 1990-Oct-16 20:00, , , 01 40 34.79, +10 56 59.4,     n.a.,   n.a.,  1.00027064550416,  0.4089348,   59.8863,/L,    0.2387,   3.4657185,  92.576394,  0.5589270,        n.a.     n.a.
 1990-Oct-17 20:00, , , 01 45 44.77, +11 29 37.0,     n.a.,   n.a.,  1.00057500319818,  0.6749386,   72.6026,/L,    0.2623,   3.4266065,  92.718969,  0.9328959,        n.a.     n.a.
 1990-Oct-18 20:00, , , 01 50 52.23, +12 01 30.3,     n.a.,   n.a.,  1.00106841659316,  1.0497476,   85.3496,/L,    0.2733,   3.3851330,  92.874237,  1.4679637,        n.a.     n.a.
 1990-Oct-19 20:00, , , 01 55 57.05, +12 32 36.6,     n.a.,   n.a.,  1.00179047247082,  1.5096724,   98.1199,/L,    0.2709,   3.3397614,  93.046533,  2.1376236,        n.a.     n.a.
 1990-Oct-20 20:00, , , 02 00 59.04, +13 02 53.0,     n.a.,   n.a.,  1.00281574638207,  2.0547740,  110.9075,/L,    0.2556,   3.2939084,  93.232337,  2.9459001,        n.a.     n.a.
